0,1,2
,,LOGO
"FROM
BILLTO","INVOICE#
SHIPTO",IN-001
"Saffron Design
Kavindra Mannan","INVOICE DATE
Kavindra Mannan",29/01/2019
"77 Namrata BIdg
27.Dif City,Gupta
Delhi,Delhi 400077
Delhi, Delhi 40003","264, Abdul Rehman
P.0.#
Mumbai, Bihar 40009",2430/2019
,DUEDATE,26/04/2019
"QTY
DESCRIPTION",UNIT PRICE,AMOUNT
"1
Frontend design restructure","9,999.00","9,999.00"
"2
Custom icon package",975.00,"1,950.00"
"3
Gandhi mouse pad",99.00,297.00
,Subtotal,"12,246.00"
,GST 12.0%,"1,469.52"
,TOTAL,"13,715.52"
